GIPL iM2
1280.711
1281.711
1282.714
1283.720
1284.747
1285.730
1286.748
GIPL iM3
1442.757
1443.763
1444.769
1445.768
1446.777
1447.789
1448.798
Ganglioside GM1b
1516.851
1517.856
1518.862
1519.869
1520.867
1521.877
1522.884
1523.878
Ganglioside
1626.963
1627.970
1628.979
1629.985
1630.992
1632.000
1633.005
1634.003
